dt1,dt2,l1,l2,r1,r2,t1,t2,th1,th2,v1,v2,x1,x2,xm1,xm2,y1,y2,ym1,ym2,eSpeed1,eSpeed2,pwm1,pwm2,vCtrl1,vCtrl2,xKalman1,yKalman1,xKalman2,yKalman2,xPred1,yPred1,xPred2,yPred2,State1,State2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,650,0,0,0.43,0.174,0.154,1.275,0.43,0.174,0.154,1.275,init,init
0.04,0.03,1.9778,0.74486,1,5,5,3,-10.751,270,0,0,0.43,0.165,0.43,0.155,0.17059,1.2756,0.174,1.276,0.004,0.003,651,650.75,0.004,0.003,0.43,0.174,0.15465,1.2756,0.43,0.174,0.154,1.275,accl,accl
0.08,0.06,1.9702,0.73337,1,5,5,3,-12.469,270,0,0,0.42219,0.165,0.423,0.153,0.17215,1.2871,0.187,1.289,0.004,0.003,652,651.5,0.008,0.006,0.42219,0.18619,0.15114,1.2871,0.43,0.174,0.154,1.275,accl,accl
0.12,0.09,1.9708,0.73536,1,5,5,3,-12.469,270,0,0.19,0.42278,0.165,0.423,0.152,0.17203,1.2851,0.187,1.286,0.004,0.003,653,652.25,0.012,0.009,0.42278,0.18678,0.15115,1.2851,0.43,0.174,0.154,1.2693,accl,accl
0.16,0.12,1.9732,0.73567,1,5,5,3,-11.954,270,0,0.19,0.42521,0.165,0.425,0.152,0.17152,1.2848,0.183,1.286,0.004,0.003,654,653,0.016,0.012,0.42521,0.18321,0.15084,1.2848,0.43,0.174,0.154,1.2636,accl,accl
0.2,0.15,1.973,0.7361,1,5,5,3,-11.954,270,0,0.26,0.42506,0.165,0.425,0.152,0.17155,1.2844,0.183,1.286,0.004,0.003,655,653.75,0.02,0.015,0.42506,0.18306,0.15041,1.2844,0.43,0.174,0.154,1.2558,accl,accl
0.24,0.18,1.973,0.73623,1,5,5,3,-11.954,270,0,0.26,0.42502,0.165,0.425,0.152,0.17156,1.2843,0.183,1.286,0.004,0.003,656,654.5,0.024,0.018,0.42502,0.18302,0.15028,1.2843,0.43,0.174,0.154,1.248,accl,accl
0.28,0.21,1.973,0.77557,1,5,5,3,-11.954,270,0,0.29,0.425,0.165,0.425,0.149,0.17157,1.2449,0.183,1.239,0.004,0.003,657,655.25,0.028,0.021,0.425,0.183,0.15494,1.2449,0.43,0.174,0.154,1.2393,accl,accl
0.32,0.24,1.973,0.78101,1,5,5,3,-11.954,270,0,0.29,0.425,0.165,0.425,0.149,0.17157,1.2395,0.183,1.239,0.004,0.003,658,656,0.032,0.024,0.425,0.183,0.1495,1.2395,0.43,0.174,0.154,1.2306,accl,accl
0.36,0.27,1.973,0.83842,1,5,5,3,-11.954,270,0,0.29,0.425,0.165,0.425,0.144,0.17157,1.1821,0.183,1.172,0.004,0.003,659,656.75,0.036,0.027,0.425,0.183,0.15409,1.1821,0.43,0.174,0.154,1.2219,accl,accl
0.4,0.3,1.973,0.84671,1,5,5,3,-11.954,270,0,0.29,0.425,0.165,0.425,0.144,0.17157,1.1738,0.183,1.172,0.004,0.003,660,657.5,0.04,0.03,0.425,0.183,0.1458,1.1738,0.43,0.174,0.154,1.2132,accl,accl
0.44,0.33,1.973,0.93304,1,5,5,3,-11.954,270,0,0.3,0.425,0.165,0.425,0.14,0.17157,1.0875,0.183,1.072,0.004,0.001,661,657.75,0.044,0.031,0.425,0.183,0.15547,1.0875,0.43,0.174,0.154,1.2042,accl,sync
