dt1,dt2,l1,l2,r1,r2,t1,t2,th1,th2,v1,v2,x1,x2,xm1,xm2,y1,y2,ym1,ym2,eSpeed1,eSpeed2,pwm1,pwm2,vCtrl1,vCtrl2,xKalman1,yKalman1,xKalman2,yKalman2,xPred1,yPred1,xPred2,yPred2,State1,State2
0.04,0.04,2.244,0.68551,6,3,6,3,360,270,0,0,0.693,0.165,0.693,0.18,0.165,1.335,0.188,1.335,0,0,650,750,0,0,0.693,0.188,0.18,1.335,0.693,0.188,0.18,1.335,init,init
0.08,0.08,2.244,0.68551,6,3,6,3,360,270,0,0,0.693,0.165,0.693,0.18,0.165,1.335,0.188,1.335,0.004,0.004,651,751,0.004,0.004,0.693,0.188,0.18,1.335,0.693,0.188,0.18,1.335,accl,accl
0.12,0.12,2.244,0.68647,6,3,6,3,360,270,0,0,0.693,0.165,0.693,0.179,0.165,1.334,0.188,1.334,0.004,0.004,652,752,0.008,0.008,0.693,0.188,0.17904,1.334,0.693,0.188,0.18,1.335,accl,accl
0.16,0.16,2.244,0.68651,6,3,6,3,360,270,0,0,0.693,0.165,0.693,0.179,0.165,1.334,0.188,1.334,0.004,0.004,653,753,0.012,0.012,0.693,0.188,0.179,1.334,0.693,0.188,0.18,1.335,accl,accl
0.2,0.2,2.2441,0.68651,6,3,6,3,360,270,0.05,0,0.69304,0.165,0.693,0.179,0.165,1.334,0.188,1.334,0.004,0.004,654,754,0.016,0.016,0.69304,0.18804,0.179,1.334,0.695,0.188,0.18,1.335,accl,accl
0.24,0.24,2.2441,0.6905,6,3,6,3,360,270,0.05,0.07,0.69304,0.165,0.693,0.18,0.165,1.33,0.188,1.33,0.004,0.004,655,755,0.02,0.02,0.69304,0.18804,0.18,1.33,0.697,0.188,0.18,1.3322,accl,accl
0.28,0.28,2.2441,0.69057,6,3,6,3,360,270,0.05,0.07,0.69304,0.165,0.693,0.18,0.165,1.3299,0.188,1.33,0.004,0.004,656,756,0.024,0.024,0.69304,0.18804,0.17994,1.3299,0.699,0.188,0.18,1.3294,accl,accl
0.32,0.32,2.2442,0.69067,6,3,6,3,360,270,0.19,0.19,0.69316,0.165,0.693,0.18,0.165,1.3298,0.188,1.33,0.004,0.004,657,757,0.028,0.028,0.69316,0.18816,0.17984,1.3298,0.7066,0.188,0.18,1.3218,accl,accl
0.36,0.36,2.2442,0.69067,6,3,6,3,360,270,0.19,0.19,0.69316,0.165,0.693,0.18,0.165,1.3298,0.188,1.33,0.004,0.004,658,758,0.032,0.032,0.69316,0.18816,0.17984,1.3298,0.7142,0.188,0.18,1.3142,accl,accl
0.4,0.4,2.2442,0.72787,6,3,6,3,360,270,0.27,0.19,0.69323,0.165,0.693,0.179,0.165,1.2926,0.188,1.292,0.004,0.004,659,759,0.036,0.036,0.69323,0.18823,0.17964,1.2926,0.725,0.188,0.18,1.3066,accl,accl
0.44,0.44,2.2443,0.72872,6,3,6,3,360,270,0.27,0.29,0.69323,0.165,0.693,0.179,0.165,1.2918,0.188,1.292,0.004,0.004,660,760,0.04,0.04,0.69323,0.18823,0.17879,1.2918,0.7358,0.188,0.18,1.295,accl,accl
0.48,0.48,2.3652,0.72876,6,3,6,3,360,270,0.34,0.29,0.81416,0.165,0.816,0.179,0.165,1.2918,0.168,1.292,0.004,0.004,661,761,0.044,0.044,0.81416,0.16616,0.17875,1.2918,0.7494,0.188,0.18,1.2834,accl,accl
0.52,0.52,2.3672,0.72881,6,3,6,3,360,270,0.34,0.35,0.81621,0.165,0.816,0.179,0.165,1.2917,0.168,1.292,0.004,0.004,662,762,0.048,0.048,0.81621,0.16821,0.1787,1.2917,0.763,0.188,0.18,1.2694,accl,accl
0.56,0.56,2.3673,0.72881,6,3,6,3,360,270,0.34,0.35,0.81629,0.165,0.816,0.179,0.165,1.2917,0.168,1.292,0.004,0.004,663,763,0.052,0.052,0.81629,0.16829,0.1787,1.2917,0.7766,0.188,0.18,1.2554,accl,accl
0.6,0.6,2.3673,0.80895,6,3,6,3,360,270,0.38,0.35,0.81633,0.165,0.816,0.171,0.165,1.2116,0.168,1.21,0.004,0.004,664,764,0.056,0.056,0.81633,0.16833,0.17256,1.2116,0.7918,0.188,0.18,1.2414,accl,accl
0.64,0.64,2.3673,0.81077,6,3,6,3,360,270,0.38,0.39,0.81633,0.165,0.816,0.171,0.165,1.2097,0.168,1.21,0.004,0.004,665,765,0.06,0.06,0.81633,0.16833,0.17074,1.2097,0.807,0.188,0.18,1.2258,accl,accl
0.68,0.68,2.4819,0.81084,6,3,6,3,360,270,0.4,0.39,0.93086,0.165,0.933,0.171,0.165,1.2097,0.171,1.21,0.004,0.004,666,766,0.064,0.064,0.93086,0.16886,0.17067,1.2097,0.823,0.188,0.18,1.2102,accl,accl
0.72,0.72,2.4843,0.81085,6,3,6,3,360,270,0.4,0.4,0.93324,0.165,0.933,0.171,0.165,1.2097,0.171,1.21,0.004,0.004,667,767,0.068,0.068,0.93324,0.17124,0.17066,1.2097,0.839,0.188,0.18,1.1942,accl,accl
0.76,0.76,2.4844,0.94977,6,3,6,3,360,270,0.4,0.4,0.93334,0.165,0.933,0.164,0.165,1.0707,0.171,1.068,0.004,0.004,668,768,0.072,0.072,0.93334,0.17134,0.16674,1.0707,0.855,0.188,0.18,1.1782,accl,accl
0.8,0.8,2.4844,0.95273,6,3,6,3,360,270,0.42,0.4,0.93336,0.165,0.933,0.164,0.165,1.0678,0.171,1.068,0.004,0.004,669,769,0.076,0.076,0.93336,0.17136,0.16378,1.0678,0.8718,0.188,0.18,1.1622,accl,accl
0.84,0.84,2.4844,0.95286,6,3,6,3,360,270,0.42,0.41,0.93336,0.165,0.933,0.164,0.165,1.0677,0.171,1.068,0.004,0.004,670,770,0.08,0.08,0.93336,0.17136,0.16365,1.0677,0.8886,0.188,0.18,1.1458,accl,accl
0.88,0.88,3.4711,0.95286,7,3,7,3,129.55,270,0.42,0.41,1.1105,0.165,1.114,0.164,0.25765,1.0676,0.163,1.068,-0.01,0.004,667.5,771,0.07,0.084,1.1105,0.15948,0.16365,1.0676,0.8779,0.20095,0.18,1.1294,brak,accl
0.92,0.92,3.4692,1.9321,7,4,7,4,129.55,-138.79,0.5,0.4,1.1139,0.28972,1.114,0.159,0.26359,0.87176,0.163,0.868,0.004,0.004,668.5,772,0.074,0.088,1.1139,0.16291,0.16276,0.87176,0.86517,0.21638,0.16796,1.1189,accl,accl
0.96,0.96,3.4691,1.9308,7,4,7,4,129.55,-138.79,0.5,0.4,1.1141,0.29758,1.114,0.159,0.26384,0.86769,0.163,0.868,0.004,0.004,669.5,773,0.078,0.092,1.1141,0.16305,0.15869,0.86769,0.85243,0.2318,0.15593,1.1083,accl,accl
1,1,3.4691,1.9307,7,4,7,4,129.55,-138.79,0.3,0.4,1.114,0.29792,1.114,0.159,0.26381,0.86752,0.163,0.868,-0.01,0.004,667,774,0.068,0.096,1.114,0.16304,0.15852,0.86752,0.84479,0.24105,0.14389,1.0978,brak,accl
1.04,1.04,3.4691,1.9307,7,4,7,4,129.55,-138.79,0.3,0.47,1.114,0.29809,1.114,0.159,0.26381,0.86743,0.163,0.868,0.004,0.004,668,775,0.072,0.1,1.114,0.16303,0.15843,0.86743,0.83715,0.2503,0.12974,1.0854,accl,accl
1.08,1.08,3.5333,1.7056,8,4,8,4,129.55,-117.35,0.3,0.47,1.5458,0.21216,1.114,0.171,0.16303,0.65861,0.163,0.655,-0.01,0.004,665.5,776,0.062,0.104,1.114,0.16303,0.17461,0.65861,0.82951,0.25956,0.12111,1.0687,brak,accl
1.12,1.12,3.5334,1.9767,8,5,8,5,129.55,-117.35,0.35,0.3,1.5457,0.17081,1.114,0.171,0.16304,0.4288,0.163,0.655,-0.01,-0.01,663,773.5,0.052,0.094,1.114,0.16304,0.17081,0.65481,0.8206,0.27035,0.11559,1.058,brak,brak
1.16,1.16,3.5334,1.9775,8,5,8,5,129.55,-117.35,0.35,0.3,1.5457,0.17066,1.114,0.171,0.16304,0.42962,0.163,0.655,-0.01,-0.01,660.5,771,0.042,0.084,1.114,0.16304,0.17066,0.65466,0.81168,0.28115,0.11008,1.0474,brak,brak
1.2,1.2,3.4014,1.9775,8,5,8,5,5.6689,-117.35,0.35,0.3,1.6723,0.17065,1.537,0.171,0.20843,0.42966,0.218,0.655,0.004,-0.01,661.5,768.5,0.046,0.074,1.5274,0.20843,0.17065,0.65465,0.82561,0.28253,0.10457,1.0367,accl,brak
1.24,1.24,3.3834,1.8357,8,5,8,5,5.6689,-82.902,0.34,0.34,1.6877,0.22772,1.537,0.225,0.21791,0.29808,0.218,0.457,0.004,0.004,662.5,769.5,0.05,0.078,1.5369,0.21791,0.22772,0.45972,0.83915,0.28387,0.10625,1.0232,accl,accl
1.28,1.28,3.3827,1.8405,8,5,8,5,5.6689,-82.902,0.34,0.34,1.6883,0.22487,1.537,0.225,0.2183,0.30204,0.218,0.457,0.004,0.004,663.5,770.5,0.054,0.082,1.5373,0.2183,0.22487,0.45687,0.85268,0.28522,0.10793,1.0097,accl,accl
1.32,1.32,3.8433,1.8408,9,5,9,5,450,-82.902,0.29,0.34,1.835,0.22475,1.537,0.225,0.21825,0.3022,0.218,0.457,-0.01,0.004,661,771.5,0.044,0.086,1.5373,0.21825,0.22475,0.45675,0.85268,0.29682,0.10961,0.99623,brak,accl
1.36,1.36,3.7671,1.8407,9,5,9,5,450,-82.902,0.29,0.3,1.835,0.22477,1.687,0.225,0.29447,0.30217,0.299,0.457,-0.01,0.004,658.5,772.5,0.034,0.09,1.6825,0.29447,0.22477,0.45677,0.85268,0.30842,0.11109,0.98432,brak,accl
1.4,1.4,3.7625,2.3058,9,6,9,6,450,360,0.29,0.3,1.835,0.22524,1.687,0.225,0.29905,0.165,0.299,0.457,-0.01,-0.01,656,770,0.024,0.08,1.6871,0.29905,0.22524,0.45724,0.85268,0.32002,0.12309,0.98432,brak,brak
1.44,1.44,3.7623,2.2126,9,6,9,6,450,360,0.27,0.34,1.835,0.31841,1.687,0.317,0.29923,0.165,0.299,0.311,-0.01,-0.01,653.5,767.5,0.014,0.07,1.6872,0.29923,0.31841,0.31241,0.85268,0.33082,0.13669,0.98432,brak,brak
1.48,1.48,3.7623,2.2137,9,6,9,6,450,360,0.27,0.34,1.835,0.31734,1.687,0.317,0.29923,0.165,0.299,0.311,-0.01,-0.01,651,765,0.004,0.06,1.6872,0.29923,0.31734,0.31134,0.85268,0.34162,0.15029,0.98432,brak,brak
1.52,1.52,3.6332,2.2137,9,6,9,6,450,360,0.31,0.34,1.835,0.3173,1.793,0.317,0.4283,0.165,0.433,0.311,-0.01,-0.01,650,762.5,-0.006,0.05,1.7883,0.4283,0.3173,0.3113,0.85268,0.35402,0.16389,0.98432,brak,brak
1.56,1.56,3.6285,2.2138,9,6,9,6,450,360,0.31,0.3,1.835,0.31726,1.793,0.317,0.43306,0.165,0.433,0.311,0.006,-0.01,651.5,760,0,0.04,1.7931,0.43306,0.31726,0.31126,0.85268,0.36642,0.17589,0.98432,stop,brak
1.6,1.6,3.6283,2.0866,9,6,9,6,450,360,0.31,0.3,1.835,0.44441,1.793,0.445,0.43326,0.165,0.433,0.224,0.004,-0.01,652.5,757.5,0.004,0.03,1.7933,0.43326,0.44441,0.22341,0.85268,0.37882,0.18789,0.98432,accl,brak
1.64,1.64,3.6282,2.0858,9,6,9,6,450,360,0.38,0.35,1.835,0.44527,1.793,0.445,0.43333,0.165,0.433,0.224,-0.01,-0.01,650,755,-0.006,0.02,1.7933,0.43333,0.44527,0.22427,0.85268,0.39402,0.20189,0.98432,brak,brak
1.68,1.68,3.6689,2.0857,9,6,9,6,450,360,0.38,0.35,1.835,0.4453,1.828,0.445,0.58734,0.165,0.591,0.224,0.006,-0.01,651.5,752.5,0,0.01,1.8243,0.58734,0.4453,0.2243,0.85268,0.40922,0.21589,0.98432,stop,brak
1.72,1.72,3.6727,2.1617,9,6,9,6,450,360,0.39,0.38,1.835,0.61066,1.828,0.613,0.59117,0.165,0.591,0.185,0.004,-0.01,652.5,750,0.004,9.37E-17,1.8282,0.59117,0.61066,0.18266,0.85268,0.42482,0.23109,0.98432,accl,brak
1.76,1.76,3.6729,2.1642,9,6,9,6,450,360,0.39,0.38,1.835,0.61322,1.828,0.613,0.59133,0.165,0.591,0.185,-0.01,-0.01,650,750,-0.006,-0.01,1.8283,0.59133,0.61322,0.18522,0.85268,0.44042,0.24629,0.98432,brak,brak
1.8,1.8,3.6729,2.1643,9,6,9,6,450,360,0.4,0.38,1.835,0.61332,1.828,0.613,0.59134,0.165,0.591,0.185,0.006,0.01,651.5,752.5,0,0,1.8283,0.59134,0.61332,0.18532,0.85268,0.45642,0.26149,0.98432,stop,stop
