dt1,dt2,l1,l2,r1,r2,t1,t2,th1,th2,v1,v2,x1,x2,xm1,xm2,y1,y2,ym1,ym2,eSpeed1,eSpeed2,pwm1,pwm2,vCtrl1,vCtrl2,xKalman1,yKalman1,xKalman2,yKalman2,xPred1,yPred1,xPred2,yPred2,State1,State2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,750,0,0,0.748,0.18,0.16,1.323,0.748,0.18,0.16,1.323,init,init
0.03,0.03,2.299,0.69751,1,1,6,3,360,270,0,0,0.748,0.165,0.748,0.16,0.165,1.323,0.18,1.323,0.009,0.009,752.25,752.25,0.009,0.009,0.748,0.18,0.16,1.323,0.748,0.18,0.16,1.323,accl,accl
0.06,0.06,2.2976,0.70004,1,1,6,3,360,270,0,0,0.74663,0.165,0.746,0.16,0.165,1.3205,0.178,1.32,0.009,0.009,754.5,754.5,0.018,0.018,0.74663,0.17863,0.16047,1.3205,0.748,0.18,0.16,1.323,accl,accl
0.09,0.09,2.2975,0.70036,1,1,6,3,360,270,0.07,0,0.74653,0.165,0.746,0.16,0.165,1.3201,0.178,1.32,0.009,0.009,756.75,756.75,0.027,0.027,0.74653,0.17853,0.16015,1.3201,0.7501,0.18,0.16,1.323,accl,accl
0.12,0.12,2.2975,0.7007,1,1,6,3,360,270,0.07,0.05,0.74649,0.165,0.746,0.16,0.165,1.3198,0.178,1.32,0.009,0.009,759,759,0.036,0.036,0.74649,0.17849,0.15981,1.3198,0.7522,0.18,0.16,1.3215,accl,accl
0.15,0.15,2.2983,0.7008,1,1,6,3,360,270,0.24,0.05,0.74729,0.165,0.746,0.16,0.165,1.3197,0.178,1.32,0.009,0.009,761.25,761.25,0.045,0.045,0.74729,0.17929,0.15971,1.3197,0.7594,0.18,0.16,1.32,accl,accl
0.18,0.18,2.2986,0.70145,1,1,6,3,360,270,0.24,0.18,0.74753,0.165,0.746,0.16,0.165,1.3191,0.178,1.32,0.009,0.009,763.5,763.5,0.054,0.054,0.74753,0.17953,0.15906,1.3191,0.7666,0.18,0.16,1.3146,accl,accl
0.21,0.21,2.2986,0.70165,1,1,6,3,360,270,0.24,0.18,0.74761,0.165,0.746,0.16,0.165,1.3189,0.178,1.32,0.009,0.009,765.75,765.75,0.063,0.063,0.74761,0.17961,0.15886,1.3189,0.7738,0.18,0.16,1.3092,accl,accl
0.24,0.24,2.2993,0.71841,1,1,6,3,360,270,0.37,0.29,0.74825,0.165,0.746,0.161,0.165,1.3021,0.178,1.301,0.009,0.009,768,768,0.072,0.072,0.74825,0.18025,0.1621,1.3021,0.7849,0.18,0.16,1.3005,accl,accl
0.27,0.27,2.3409,0.72053,1,1,6,3,360,270,0.37,0.29,0.78986,0.165,0.794,0.161,0.165,1.3,0.172,1.301,0.009,0.009,770.25,770.25,0.081,0.081,0.78986,0.16786,0.15998,1.3,0.796,0.18,0.16,1.2918,accl,accl
0.3,0.31,2.3459,0.75359,1,1,6,3,360,270,0.47,0.35,0.79491,0.165,0.794,0.158,0.165,1.2669,0.172,1.263,0.009,0.012,772.5,773.25,0.09,0.093,0.79491,0.17291,0.16192,1.2669,0.8101,0.18,0.16,1.2778,accl,accl
0.33,0.34,2.4087,0.8117,1,1,6,3,360,270,0.47,0.35,0.85767,0.165,0.865,0.156,0.165,1.2088,0.171,1.199,0.009,0.009,774.75,775.5,0.099,0.102,0.85767,0.16367,0.16581,1.2088,0.8242,0.18,0.16,1.2673,accl,accl
0.36,0.38,2.4159,0.821,1,1,6,3,360,270,0.46,0.41,0.86486,0.165,0.865,0.156,0.165,1.1995,0.171,1.199,0.009,0.012,777,778.5,0.108,0.114,0.86486,0.17086,0.1565,1.1995,0.838,0.18,0.16,1.2509,accl,accl
0.39,0.41,2.5069,0.90117,1,1,6,3,360,270,0.46,0.41,0.95586,0.165,0.968,0.157,0.165,1.1193,0.171,1.107,0.009,0.009,779.25,780.75,0.117,0.123,0.95586,0.15886,0.16934,1.1193,0.8518,0.18,0.16,1.2386,accl,accl
0.42,0.44,2.6305,0.91171,1,1,6,3,360,270,0.5,0.44,1.0794,0.165,1.103,0.157,0.165,1.1088,0.177,1.107,0.009,0.009,781.5,783,0.126,0.132,1.0794,0.15345,0.1588,1.1088,0.8668,0.18,0.16,1.2254,accl,accl
0.44,0.47,2.6482,1.0026,7,1,6,3,360,270,0.5,0.44,1.0972,0.165,1.103,0.158,0.165,1.0179,0.177,1,0.006,0.009,783,785.25,0.132,0.141,1.0972,0.17118,0.17594,1.0179,0.8768,0.18,0.16,1.2122,accl,accl
0.47,0.5,2.7644,1.0169,7,1,6,3,360,270,0.28,0.44,1.2133,0.165,1.234,0.158,0.165,1.0036,0.172,1,0.009,0.009,785.25,787.5,0.141,0.15,1.2133,0.15134,0.16157,1.0036,0.8852,0.18,0.16,1.199,accl,accl
0.5,0.53,2.7799,1.1204,7,1,6,3,360,270,0.28,0.45,1.2288,0.165,1.234,0.165,0.165,0.90011,0.172,0.884,0.009,0.009,787.5,789.75,0.15,0.159,1.2288,0.16683,0.18111,0.90011,0.8936,0.18,0.16,1.1855,accl,accl
0.53,0.55,1.9947,1.1329,7,4,3,3,270,270,0.28,0.45,0.165,0.165,1.502,0.165,0.025834,0.88764,0.052,0.884,0.009,0.006,789.75,791.25,0.159,0.165,1.4758,0.025834,0.16864,0.88764,0.8936,0.1716,0.16,1.1765,accl,accl
0.57,0.58,1.9782,1.2428,8,4,3,3,270,270,0,0.42,0.165,0.165,1.502,0.168,0.042259,0.77767,0.052,0.762,0.012,0.009,792.75,793.5,0.171,0.174,1.4923,0.042259,0.18367,0.77767,0.8936,0.1716,0.16,1.1639,accl,accl
0.6,0.61,1.9809,1.2556,8,4,3,3,270,270,0,0.42,0.165,0.165,1.639,0.168,0.039563,0.76494,0.066,0.762,0.009,0.009,795,795.75,0.18,0.183,1.6126,0.039563,0.17094,0.76494,0.8936,0.1716,0.16,1.1513,accl,accl
0.63,0.64,1.9628,1.3659,8,4,3,3,270,270,0,0.37,0.165,0.165,1.639,0.17,0.057704,0.65464,0.066,0.636,0.009,-0.00014754,797.25,795.71,0.189,0.18285,1.6307,0.057704,0.18864,0.65464,0.8936,0.1716,0.16,1.1402,accl,sync
0.65,0.66,1.9469,1.3789,9,5,3,3,270,270,0,0.37,0.165,0.165,1.762,0.17,0.073601,0.64156,0.101,0.636,0.006,0.00020172,798.75,795.76,0.195,0.18305,1.7346,0.073601,0.17556,0.64156,0.8936,0.1716,0.16,1.1328,accl,sync
