dt1,dt2,l1,l2,r1,r2,t1,t2,th1,th2,v1,v2,x1,x2,xm1,xm2,y1,y2,ym1,ym2,eSpeed1,eSpeed2,pwm1,pwm2,vCtrl1,vCtrl2,xKalman1,yKalman1,xKalman2,yKalman2,xPred1,yPred1,xPred2,yPred2,State1,State2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,700,0,0,0.187,1.462,0.182,0.442,0.187,1.462,0.182,0.442,init,init
0.12,0.03,0.55851,1.5786,1,4,3,4,270,-81.142,0,0,0.165,0.16856,0.187,0.182,1.462,0.442,1.462,0.442,0.012,0.003,653,700.75,0.012,0.003,0.187,1.462,0.182,0.442,0.187,1.462,0.182,0.442,strt,accl
0.24,0.06,0.55897,1.5785,1,4,3,4,270,-81.17,0.06,0,0.165,0.16854,0.187,0.181,1.4615,0.44216,1.462,0.442,-0.012,0.003,650,701.5,0,0.006,0.18654,1.4615,0.18116,0.44216,0.187,1.4548,0.182,0.442,sync,accl
0.36,0.09,0.55902,1.5786,1,4,3,4,270,-81.17,0.06,0,0.165,0.16856,0.187,0.181,1.4615,0.44205,1.462,0.442,0.012,0.003,653,702.25,0.012,0.009,0.18648,1.4615,0.18105,0.44205,0.187,1.4476,0.182,0.442,strt,accl
0.48,0.13,0.55949,1.5832,1,4,3,4,270,-80.267,0.12,0.06,0.165,0.16927,0.187,0.181,1.461,0.43749,1.462,0.437,-0.006,0.004,651.5,703.25,0.006,0.013,0.18602,1.461,0.18149,0.43749,0.187,1.4332,0.18241,0.43963,sync,accl
0.6,0.16,0.55955,1.5838,1,4,3,4,270,-80.267,0.12,0.06,0.165,0.16936,0.187,0.181,1.461,0.43693,1.462,0.437,0.006,0.003,653,704,0.012,0.016,0.18596,1.461,0.18093,0.43693,0.187,1.4188,0.18271,0.43786,sync,accl
0.72,0.19,0.55956,1.5842,1,4,3,4,270,-80.267,0.12,0.14,0.165,0.16944,0.187,0.181,1.461,0.43645,1.462,0.437,0.001,0.003,653.25,704.75,0.013,0.019,0.18595,1.461,0.18045,0.43645,0.187,1.4044,0.18342,0.43372,sync,accl
0.84,0.22,0.55956,1.5844,1,4,3,4,270,-80.267,0.12,0.14,0.165,0.16947,0.187,0.181,1.461,0.43629,1.462,0.437,0.0027692,0.003,653.94,705.5,0.015769,0.022,0.18595,1.461,0.18029,0.43629,0.187,1.39,0.18413,0.42958,sync,accl
0.96,0.26,0.58621,1.5848,1,4,3,4,270,-80.267,0.21,0.18,0.165,0.16954,0.183,0.181,1.4343,0.43585,1.434,0.437,0.0024585,0.004,654.56,706.5,0.018228,0.026,0.1833,1.4343,0.17985,0.43585,0.187,1.3648,0.18535,0.42248,sync,accl
1.08,0.28,0.58807,1.6097,1,5,3,4,270,-74.925,0.21,0.18,0.165,0.17465,0.183,0.193,1.4324,0.41138,1.434,0.41,0.0024834,0.002,655.18,707,0.020711,0.028,0.18144,1.4324,0.19438,0.41138,0.187,1.3396,0.18628,0.41901,sync,accl
1.2,0.3,0.58892,1.6111,1,5,3,4,270,-74.925,0.29,0.18,0.165,0.17499,0.183,0.193,1.4316,0.41004,1.434,0.41,0.0030643,0.002,655.94,707.5,0.023776,0.03,0.18059,1.4316,0.19304,0.41004,0.187,1.3048,0.18722,0.41553,sync,accl
1.32,0.33,0.65071,1.612,1,5,3,4,270,-74.925,0.29,0.21,0.165,0.17521,0.181,0.193,1.3698,0.40917,1.368,0.41,0.0021322,0.003,656.48,708.25,0.025908,0.033,0.1828,1.3698,0.19217,0.40917,0.187,1.27,0.18886,0.40945,sync,accl
1.44,0.36,0.65449,1.6121,1,5,3,4,270,-74.925,0.29,0.21,0.165,0.17525,0.181,0.193,1.366,0.40902,1.368,0.41,0.0018955,0.003,656.95,709,0.027803,0.036,0.17902,1.366,0.19202,0.40902,0.187,1.2352,0.1905,0.40337,sync,accl
1.56,0.39,0.6555,1.6634,1,5,3,4,270,-63.26,0.36,0.22,0.165,0.19217,0.181,0.228,1.365,0.35991,1.368,0.358,0.002243,0.003,657.51,709.75,0.030046,0.039,0.178,1.365,0.22991,0.35991,0.187,1.192,0.19347,0.39747,sync,accl
1.68,0.42,0.65563,1.6653,1,5,3,4,270,-63.26,0.36,0.22,0.165,0.19295,0.181,0.228,1.3649,0.35814,1.368,0.358,0.0023779,0.003,658.11,710.5,0.032424,0.042,0.17788,1.3649,0.22814,0.35814,0.187,1.1488,0.19644,0.39158,sync,accl
1.8,0.45,0.65565,1.6659,1,5,3,4,270,-63.26,0.36,0.22,0.165,0.1932,0.181,0.228,1.3649,0.35758,1.368,0.358,0.0024337,0.003,658.71,711.25,0.034858,0.045,0.17786,1.3649,0.22758,0.35758,0.187,1.1056,0.19941,0.38568,sync,accl
