dt1,dt2,l1,l2,r1,r2,t1,t2,th1,th2,v1,v2,x1,x2,xm1,xm2,y1,y2,ym1,ym2,eSpeed1,eSpeed2,pwm1,pwm2,vCtrl1,vCtrl2,xKalman1,yKalman1,xKalman2,yKalman2,xPred1,yPred1,xPred2,yPred2,State1,State2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,750,0,0,0.167,1.361,0.167,0.59,0.167,1.361,0.167,0.59,init,init
0.03,0.03,0.65867,1.4305,1,1,3,3,270,270,0,0,0.165,0.165,0.167,0.167,1.3618,0.59,1.362,0.59,0.009,0.009,752.25,752.25,0.009,0.009,0.16684,1.3618,0.167,0.59,0.167,1.361,0.167,0.59,accl,accl
0.06,0.06,0.65856,1.4305,1,1,3,3,270,270,0,0,0.165,0.165,0.167,0.167,1.362,0.59,1.362,0.59,0.009,0.009,754.5,754.5,0.018,0.018,0.16695,1.362,0.167,0.59,0.167,1.361,0.167,0.59,accl,accl
0.09,0.09,0.66037,1.4308,1,1,3,3,270,270,0,0.07,0.165,0.165,0.168,0.167,1.3601,0.58967,1.36,0.59,0.009,0.009,756.75,756.75,0.027,0.027,0.16814,1.3601,0.16667,0.58967,0.167,1.361,0.167,0.5879,accl,accl
0.12,0.12,0.66103,1.4309,1,1,3,3,270,270,0.12,0.07,0.165,0.165,0.168,0.167,1.3595,0.58957,1.36,0.59,0.009,0.009,759,759,0.036,0.036,0.16748,1.3595,0.16657,0.58957,0.167,1.3574,0.167,0.5858,accl,accl
0.15,0.15,0.66194,1.4131,1,1,3,3,270,270,0.27,0.24,0.165,0.165,0.168,0.166,1.3586,0.60744,1.36,0.612,0.009,0.009,761.25,761.25,0.045,0.045,0.16657,1.3586,0.16144,0.60744,0.167,1.3493,0.167,0.5786,accl,accl
0.18,0.18,0.66223,1.4111,4,1,3,3,270,270,0.27,0.24,0.165,0.165,0.168,0.166,1.3583,0.60944,1.36,0.612,0.009,0.009,763.5,763.5,0.054,0.054,0.16628,1.3583,0.16344,0.60944,0.167,1.3412,0.167,0.5714,accl,accl
0.21,0.21,0.66232,1.4104,4,1,3,3,270,270,0.27,0.24,0.165,0.165,0.168,0.166,1.3582,0.61007,1.36,0.612,0.009,0.009,765.75,765.75,0.063,0.063,0.16619,1.3582,0.16407,0.61007,0.167,1.3331,0.167,0.5642,accl,accl
0.24,0.24,0.6616,1.4106,4,1,3,3,270,270,0.11,0.31,0.165,0.165,0.168,0.166,1.3589,0.60993,1.36,0.612,0.009,0.009,768,768,0.072,0.072,0.16691,1.3589,0.16393,0.60993,0.167,1.3298,0.167,0.5549,accl,accl
0.27,0.27,0.60272,1.411,4,1,3,3,270,270,0,0.4,0.165,0.165,0.179,0.166,1.4178,0.60947,1.431,0.612,0.009,0.009,770.25,770.25,0.081,0.081,0.16579,1.4178,0.16347,0.60947,0.167,1.3298,0.167,0.5429,accl,accl
0.29,0.3,0.59365,1.4117,5,1,3,3,270,270,0,0.4,0.165,0.165,0.179,0.166,1.4269,0.60882,1.431,0.612,0.006,0.009,771.75,772.5,0.087,0.09,0.17485,1.4269,0.16282,0.60882,0.167,1.3298,0.167,0.5309,accl,accl
0.32,0.33,0.59083,1.4116,5,1,3,3,270,270,0,0.44,0.165,0.165,0.179,0.166,1.4297,0.60893,1.431,0.612,0.009,0.009,774,774.75,0.096,0.099,0.17767,1.4297,0.16293,0.60893,0.167,1.3298,0.167,0.5177,accl,accl
0.35,0.36,0.58992,1.2905,5,1,3,3,270,270,0,0.44,0.165,0.165,0.179,0.163,1.4306,0.72999,1.431,0.755,0.009,0.009,776.25,777,0.105,0.108,0.17858,1.4306,0.13799,0.72999,0.167,1.3298,0.167,0.5045,accl,accl
0.38,0.39,0.58964,1.2756,5,1,3,3,270,270,0,0.48,0.165,0.165,0.179,0.163,1.4309,0.74489,1.431,0.755,0.009,0.009,778.5,779.25,0.114,0.117,0.17887,1.4309,0.15289,0.74489,0.167,1.3298,0.167,0.4901,accl,accl
0.4,0.42,0.58955,1.272,6,1,3,3,270,270,0,0.48,0.165,0.165,0.179,0.163,1.431,0.74856,1.431,0.755,0.006,0.009,780,781.5,0.12,0.126,0.17896,1.431,0.15656,0.74856,0.167,1.3298,0.167,0.4757,accl,accl
0.43,0.45,0.63299,1.2698,6,1,3,3,270,270,0.3,0.48,0.165,0.165,0.3,0.163,1.3875,0.75071,1.404,0.755,0.009,0.009,782.25,783.75,0.129,0.135,0.28352,1.3875,0.15871,0.75071,0.167,1.3208,0.167,0.4613,accl,accl
0.46,0.47,0.62309,1.2684,6,4,3,3,270,270,0.3,0.48,0.165,0.165,0.3,0.163,1.3974,0.75215,1.404,0.755,0.009,0.006,784.5,785.25,0.138,0.141,0.29341,1.3974,0.16015,0.75215,0.167,1.3118,0.167,0.4517,accl,accl
0.49,0.5,0.62064,1.2686,6,4,3,3,270,270,0.3,0.46,0.165,0.165,0.3,0.163,1.3999,0.75188,1.404,0.755,0.009,0.009,786.75,787.5,0.147,0.15,0.29587,1.3999,0.15988,0.75188,0.167,1.3028,0.167,0.4379,accl,accl
0.52,0.53,0.62007,1.2687,6,4,3,3,270,270,0.48,0.46,0.165,0.165,0.3,0.163,1.4004,0.75186,1.404,0.755,0.009,0.009,789,789.75,0.156,0.159,0.29644,1.4004,0.15986,0.75186,0.167,1.2884,0.167,0.4241,accl,accl
0.55,0.55,0.61989,1.0422,6,5,3,3,270,270,0.48,0.38,0.165,0.165,0.3,0.171,1.4006,0.97835,1.404,1.024,0.009,0.006,791.25,791.25,0.165,0.165,0.29662,1.4006,0.12535,0.97835,0.167,1.274,0.167,0.4165,accl,accl
0.58,0.58,0.62101,1.0129,6,5,3,3,270,270,0.58,0.38,0.165,0.165,0.3,0.171,1.3995,1.0076,1.404,1.024,-0.00032727,0.009,791.17,793.5,0.16467,0.174,0.2955,1.3995,0.15458,1.0076,0.167,1.2566,0.167,0.4051,sync,accl
0.61,0.61,0.62066,1.0033,6,5,3,3,270,270,0.58,0.35,0.165,0.165,0.3,0.171,1.3999,1.0172,1.404,1.024,1.79E-05,0.009,791.17,795.75,0.16469,0.183,0.29585,1.3999,0.1642,1.0172,0.167,1.2392,0.167,0.3946,sync,accl
0.64,0.64,0.62045,1.0003,6,5,3,3,270,270,0.56,0.35,0.165,0.165,0.3,0.171,1.4001,1.0202,1.404,1.024,0.00050874,0.009,791.3,798,0.1652,0.192,0.29606,1.4001,0.16722,1.0202,0.167,1.2224,0.167,0.3841,sync,accl
0.67,0.67,0.62038,0.99944,6,5,3,3,270,270,0.56,0.37,0.165,0.165,0.3,0.171,1.4001,1.0211,1.404,1.024,0.00096977,0.009,791.54,800.25,0.16617,0.201,0.29613,1.4001,0.16807,1.0211,0.167,1.2056,0.167,0.373,sync,accl
0.7,0.69,0.62045,0.99859,6,6,3,3,270,270,0.58,0.37,0.165,0.165,0.3,0.171,1.4001,1.0219,1.404,1.024,0.001399,0.006,791.89,801.75,0.16757,0.207,0.29605,1.4001,0.16892,1.0219,0.167,1.1882,0.167,0.3656,sync,accl
0.72,0.72,0.62014,0.76534,7,6,3,3,270,270,0.58,0.38,0.165,0.165,0.3,0.264,1.4004,1.2552,1.404,1.335,0.0011971,0.009,792.19,804,0.16877,0.216,0.29637,1.4004,0.18417,1.2552,0.167,1.1766,0.167,0.3542,sync,accl
0.75,0.75,0.61974,0.71241,7,6,3,3,270,270,0.43,0.38,0.165,0.165,0.3,0.264,1.4008,1.3081,1.404,1.335,0.009,0.009,794.44,806.25,0.17777,0.225,0.29677,1.4008,0.2371,1.3081,0.167,1.1637,0.167,0.3428,accl,accl
0.77,0.78,0.61887,0.69776,8,6,3,3,270,270,0.43,0.4,0.165,0.165,0.3,0.264,1.4016,1.3228,1.404,1.335,0.006,0.009,795.94,808.5,0.18377,0.234,0.29764,1.4016,0.25175,1.3228,0.167,1.1551,0.167,0.3308,accl,accl
0.79,0.81,0.61726,0.69232,8,6,3,3,270,270,0,0.4,0.165,0.165,0.3,0.264,1.4032,1.3282,1.404,1.335,0.006,0.009,797.44,810.75,0.18977,0.243,0.29924,1.4032,0.25719,1.3282,0.167,1.1551,0.167,0.3188,accl,accl
0.83,0.84,0.61502,0.68923,8,6,3,3,270,270,0,0.46,0.165,0.165,0.699,0.264,1.4055,1.3313,1.482,1.335,0.012,0.009,800.44,813,0.20177,0.252,0.62248,1.4055,0.26028,1.3313,0.167,1.1551,0.167,0.305,accl,accl
0.85,0.87,0.56221,0.68946,9,6,3,3,270,270,0,0.46,0.165,0.165,0.699,0.264,1.4583,1.3311,1.482,1.335,0.006,0.009,801.94,815.25,0.20777,0.261,0.6753,1.4583,0.26005,1.3311,0.167,1.1551,0.167,0.2912,accl,accl
0.88,0.9,0.54609,0.68911,9,6,3,3,270,270,0,0.5,0.165,0.165,0.699,0.264,1.4744,1.3314,1.482,1.335,0.009,0.009,804.19,817.5,0.21677,0.27,0.69142,1.4744,0.2604,1.3314,0.167,1.1551,0.167,0.2762,accl,accl
0.91,0.93,0.5415,0.68899,9,6,3,3,270,270,0.13,0.5,0.165,0.165,0.699,0.264,1.479,1.3315,1.482,1.335,0.009,0.009,806.44,819.75,0.22577,0.279,0.69601,1.479,0.26052,1.3315,0.167,1.1512,0.167,0.2612,accl,accl
0.94,0.96,0.54006,0.6891,9,6,3,3,270,270,0.13,0.53,0.165,0.165,0.699,0.264,1.4804,1.3314,1.482,1.335,0.009,0.009,808.69,822,0.23477,0.288,0.69745,1.4804,0.26041,1.3314,0.167,1.1473,0.167,0.2453,accl,accl
0.97,0.99,0.54135,0.68913,9,6,3,3,270,270,0.5,0.53,0.165,0.165,0.699,0.264,1.4792,1.3314,1.482,1.335,0.009,0.009,810.94,824.25,0.24377,0.297,0.69616,1.4792,0.26038,1.3314,0.167,1.1323,0.167,0.2294,accl,accl
1,1.02,0.54175,0.68919,9,6,3,3,270,270,0.5,0.54,0.165,0.165,0.699,0.264,1.4788,1.3313,1.482,1.335,0.009,0.009,813.19,826.5,0.25277,0.306,0.69575,1.4788,0.26032,1.3313,0.167,1.1173,0.167,0.2132,accl,accl
1.03,1.04,0.66152,0.68836,9,7,3,3,270,270,0.54,0.54,0.165,0.165,1.111,0.264,1.359,1.3322,1.417,1.335,0.009,0.006,815.44,828,0.26177,0.312,1.053,1.359,0.26115,1.3322,0.167,1.1011,0.167,0.2024,accl,accl
1.06,1.07,0.62812,0.6892,9,7,3,3,270,270,0.54,0.58,0.165,0.165,1.111,0.264,1.3924,1.3313,1.417,1.335,0.009,0.009,817.69,830.25,0.27077,0.321,1.0864,1.3924,0.26031,1.3313,0.167,1.0849,0.167,0.185,accl,accl
1.09,1.1,0.61413,0.6894,9,7,3,3,270,270,0.61,0.58,0.165,0.165,1.111,0.264,1.4064,1.3311,1.417,1.335,0.009,0.009,819.94,832.5,0.27977,0.33,1.1004,1.4064,0.26011,1.3311,0.167,1.0666,0.167,0.1676,accl,accl
1.12,1.13,0.60971,0.5244,9,8,3,3,270,270,0.61,0.5,0.165,0.165,1.111,0.649,1.4108,1.4961,1.417,1.602,0.009,0.009,822.19,834.75,0.28877,0.339,1.1048,1.4108,0.54311,1.4961,0.167,1.0483,0.167,0.1526,accl,accl
1.15,1.16,0.60805,0.56692,9,8,3,3,270,270,0.55,0.5,0.165,0.165,1.111,0.649,1.4125,1.5664,1.417,1.602,0.009,0.009,824.44,837,0.29777,0.348,1.1065,1.4125,0.61341,1.5664,0.167,1.0318,0.167,0.1376,accl,accl
1.17,1.19,0.60666,0.58647,10,8,3,3,270,270,0.55,0.5,0.165,0.165,1.111,0.649,1.4138,1.586,1.417,1.602,0.006,0.009,825.94,839.25,0.30377,0.357,1.1078,1.4138,0.63296,1.586,0.167,1.0208,0.167,0.1226,accl,accl
1.2,1.21,0.9244,0.59602,10,9,3,3,270,270,0.52,0.46,0.165,0.165,1.504,0.649,1.0961,1.5955,1.114,1.602,0.009,-0.0008947,828.19,839.03,0.31277,0.35611,1.4861,1.0961,0.64251,1.5955,0.167,1.0052,0.167,0.1134,accl,sync
